# Human_geneid	Human_ids	Mouse_geneid	Mouse_ids
205	ENST00000545314,ENST00000395334,P27144,ENST00000546702,ENST00000327299	11639	ENSMUST00000102780,Q9WUR9,ENSMUST00000106946,ENSMUST00000106945
207	P31749-2,ENST00000554848,ENST00000407796,P31749,ENST00000349310	11651	P31750,ENSMUST00000001780
208	ENST00000579047,ENST00000392038,ENST00000311278,P31751,ENST00000578615,P31751-2,ENST00000424901	11652	ENSMUST00000108344,Q60823,ENSMUST00000108343,ENSMUST00000051356
210	ENST00000409155,ENST00000482847,P13716-2,P13716	17025	P10518,ENSMUST00000030090,ENSMUST00000107444
211	ENST00000484952,P13196-2,ENST00000469224,ENST00000310271,P13196	11655	ENSMUST00000112524,ENSMUST00000141118,Q8VC19
212	ENST00000335854,P22557-2,P22557-4,P22557,ENST00000650242,ENST00000396198,P22557-3	11656	ENSMUST00000112715,P08680,ENSMUST00000066337
213	P02768,P02768-2,ENST00000295897,P02768-3	11657	ENSMUST00000031314,P07724
214	ENST00000472644,Q13740,Q13740-2,Q13740-3,ENST00000470756,ENST00000306107,Q13740-4	11658	ENSMUST00000023312,ENSMUST00000170035,Q61490
215	P33897,ENST00000218104	11666	P48410,ENSMUST00000002084
217	P05091-2,ENST00000261733,P05091,ENST00000416293	11669	P47738,ENSMUST00000031411,ENSMUST00000129753
218	P30838,ENST00000457500,ENST00000494157,ENST00000225740,ENST00000479677	11670	ENSMUST00000108716,P47739,ENSMUST00000019246
219	ENST00000377698,P30837	72535	Q9CZS1,ENSMUST00000044384
220	ENST00000329841,ENST00000346623,P47895	56847	ENSMUST00000015278,Q9JHW9
221	ENST00000614849,ENST00000612297,P43353,ENST00000342456,P43353-2,ENST00000617288	67689	Q80VQ0,ENSMUST00000051803
223	ENST00000354775,P49189,P49189-3,P49189-2	56752	Q9JLJ2,ENSMUST00000028004
225	Q9UBJ2,ENST00000308666	26874	Q61285,ENSMUST00000069511
226	ENST00000412304,ENST00000642816,ENST00000643777,ENST00000563060,P04075-2,P04075	11674	ENSMUST00000106348,ENSMUST00000087566,ENSMUST00000032934,P05064
229	P05062,ENST00000647789	230163	Q91Y97,ENSMUST00000029987
230	P09972,ENST00000226253,ENST00000395321	11676	P05063,ENSMUST00000017534,ENSMUST00000102478
231	ENST00000285930,ENST00000465351,P15121	11677	P45376,ENSMUST00000102980
238	ENST00000389048,Q9UM73	11682	P97793,ENSMUST00000086639
239	P18054,ENST00000251535	11684	ENSMUST00000000329,P39655
240	P09917-3,P09917-4,ENST00000374391,P09917,P09917-5,ENST00000542434,P09917-2	11689	ENSMUST00000026795,P48999
241	ENST00000380490,P20292,ENST00000617770	11690	ENSMUST00000071130,P30355
242	O75342,ENST00000647874	11686	O70582,ENSMUST00000036424
247	ENST00000573359,O15296,O15296-4,O15296-3,O15296-2,ENST00000380183,ENST00000380173	11688	ENSMUST00000021262,O35936
248	P09923,ENST00000295463	11648	ENSMUST00000044878
249	P05186-2,ENST00000540617,ENST00000374840,ENST00000539907,P05186,P05186-3,ENST00000374832	11647	ENSMUST00000030551,P09242
257	O95076,ENST00000647563	11694	O70137,ENSMUST00000014747
258	Q9NP70,ENST00000322937,Q9NP70-2	11698	ENSMUST00000198265,ENSMUST00000031226,O55189
259	P02760,ENST00000265132	11699	ENSMUST00000030041,Q07456
262	P17707-2,ENST00000368876,ENST00000368885,ENST00000451850,P17707	11702	P0DMN7
265	Q99217,Q99217-2,ENST00000380712,Q99217-3,ENST00000348912,ENST00000380714	11704	ENSMUST00000066112,P63277-1,P63277,P63277-2,ENSMUST00000112120,P63277-3,ENSMUST00000112118
267	ENST00000290649,Q9UKV5	23802	Q9R049-2,ENSMUST00000053766,Q9R049
268	ENST00000221496,P03971	11705	ENSMUST00000036016
269	ENST00000257863,ENST00000550311,Q16671-3,ENST00000379791,Q16671-2,Q16671	110542	Q8K592,ENSMUST00000023809
270	P23109,ENST00000520113,ENST00000369538,P23109-2	229665	ENSMUST00000090715,Q3V1D3
271	Q01433-2,Q01433-4,ENST00000342115,ENST00000528667,Q01433,ENST00000528454,Q01433-5,ENST00000663749,Q01433-3,ENST00000358729	109674	ENSMUST00000078912,ENSMUST00000102637,ENSMUST00000102638,ENSMUST00000136712,Q9DBT5
272	ENST00000528723,ENST00000396554,Q01432,Q01432-6,ENST00000396553,ENST00000529507,Q01432-5,Q01432-3,Q01432-2,Q01432-4,ENST00000444303	11717	ENSMUST00000170374,O08739,ENSMUST00000005829
273	ENST00000356264,P49418,P49418-2,ENST00000325590	218038	ENSMUST00000003345,Q7TQF7,ENSMUST00000200466
274	ENST00000409400,O00499-7,ENST00000357970,O00499,O00499-6,ENST00000376113,O00499-10,ENST00000352848,O00499-5,ENST00000393041,ENST00000351659,O00499-2,O00499-4,ENST00000259238,ENST00000393040,O00499-9,ENST00000348750,O00499-3,ENST00000346226,ENST00000316724,O00499-11,O00499-8	30948	ENSMUST00000234496,O08539-2,ENSMUST00000025239,O08539,ENSMUST00000091967,ENSMUST00000234857
275	P48728-3,ENST00000636522,P48728-2,ENST00000458307,ENST00000538581,P48728,ENST00000273588,ENST00000395338,P48728-4	434437	ENSMUST00000035230,Q8CFA2
283	ENST00000336811,P03950,ENST00000397990	11727	ENSMUST00000069011,P21570,ENSMUST00000171688
284	ENST00000297450,ENST00000517746,ENST00000520734,Q15389-2,Q15389	11600	ENSMUST00000022921,O08538
285	O15123-2,O15123,ENST00000629816,O15123-3,ENST00000338312,ENST00000325203	11601	O35608,ENSMUST00000033846
286	ENST00000289734,P16157-12,P16157-19,P16157-6,P16157-16,ENST00000265709,P16157-15,P16157-10,P16157-13,P16157-20,ENST00000347528,P16157-9,P16157-4,P16157-14,P16157-21,ENST00000522543,P16157-8,P16157-22,P16157-18,P16157,P16157-5,ENST00000314214,P16157-3,ENST00000348036,P16157-11,P16157-17,P16157-2,P16157-23,P16157-7	11733	ENSMUST00000173573,ENSMUST00000118733,Q02357-4,ENSMUST00000121802,ENSMUST00000123418,Q02357-8,ENSMUST00000110688,ENSMUST00000033947,Q02357,Q02357-2,ENSMUST00000117662,ENSMUST00000117270,ENSMUST00000117296,ENSMUST00000084038,Q02357-5,Q02357-6,ENSMUST00000121075,ENSMUST00000173248,Q02357-7,Q02357-3
287	ENST00000672045,ENST00000671727,ENST00000672088,ENST00000672854,ENST00000671825,ENST00000671951,ENST00000672221,Q01484-5,ENST00000672731,ENST00000671756,ENST00000672684,ENST00000357077,ENST00000671882,ENST00000672209,ENST00000671854,Q01484,ENST00000672955,ENST00000672366,ENST00000394537,ENST00000672986,Q01484-2,ENST00000672350,ENST00000673453,ENST00000671793,ENST00000672779,ENST00000672356,ENST00000671762,ENST00000672402,Q01484-7,ENST00000506722,ENST00000671893,ENST00000672312,ENST00000509550,ENST00000673240,ENST00000671704,ENST00000673546	109676	Q8C8R3-3,ENSMUST00000182078,Q8C8R3-4,ENSMUST00000044443,Q8C8R3-7,Q8C8R3,Q8C8R3-2,Q8C8R3-5,Q8C8R3-8,Q8C8R3-6
288	ENST00000503366,Q12955-7,Q12955,ENST00000355288,Q12955-4,Q12955-5,Q12955-6,ENST00000373827,ENST00000280772	11735	ENSMUST00000092431,ENSMUST00000182155,ENSMUST00000092433,ENSMUST00000181974,G5E8K5-2,ENSMUST00000054167,ENSMUST00000182439,ENSMUST00000218680,ENSMUST00000092432,G5E8K5-4,G5E8K5-5,G5E8K5-3,ENSMUST00000182884,G5E8K5,G5E8K5-6
290	ENST00000300060,P15144	16790	ENSMUST00000107392,P97449
291	ENST00000281456,P12235	11739	P48962,ENSMUST00000034049
292	P05141,ENST00000317881	11740	ENSMUST00000016463,P51881
301	ENST00000257497,P04083	16952	P10107,ENSMUST00000025561
302	P07355,ENST00000332680,ENST00000421017,ENST00000396024,P07355-2,ENST00000558985,ENST00000451270,ENST00000559113	12306	ENSMUST00000034756,P07356
306	P12429,ENST00000264908	11745	O35639,ENSMUST00000031447
307	ENST00000409920,P09525-2,ENST00000394295,P09525	11746	ENSMUST00000204398,ENSMUST00000127152,P97429,ENSMUST00000001187,ENSMUST00000204441
308	ENST00000296511,P08758	11747	ENSMUST00000029266,P48036
309	P08133,ENST00000523714,ENST00000354546,P08133-2	11749	ENSMUST00000108883,P14824,ENSMUST00000102727
310	P20073,P20073-2,ENST00000372921,ENST00000372919	11750	ENSMUST00000224975,Q07076,ENSMUST00000065504
311	ENST00000438331,ENST00000372231,P50995-2,P50995,ENST00000265447,ENST00000422982	11744	ENSMUST00000022416,P97384
312	ENST00000419625,ENST00000262219,P27216,P27216-2	69787	Q99JG3,ENSMUST00000227274
313	P28039-2,ENST00000612871,ENST00000617267,ENST00000617537,P28039	27052	O35298,ENSMUST00000221982,ENSMUST00000021757
314	ENST00000253799,ENST00000452774,O75106-2,O75106	237940	Q812C9,ENSMUST00000041095
316	ENST00000374700,Q06278	11761	ENSMUST00000001027,O54754
317	O14727-5,ENST00000357310,O14727-4,ENST00000550527,ENST00000333991,O14727-2,O14727,O14727-3,ENST00000551964,O14727-6,ENST00000359972	11783	O88879-2,ENSMUST00000159110,ENSMUST00000020157,O88879,ENSMUST00000162618
318	ENST00000379155,P50583,ENST00000618590,ENST00000346365	66401	P56380,ENSMUST00000030154
319	Q13790,ENST00000398189	103161	ENSMUST00000050901,Q91V80
320	Q02410,Q02410-2,ENST00000265381	319924	B2RUJ5-2,B2RUJ5-3,ENSMUST00000025830,B2RUJ5
321	ENST00000558330,ENST00000558402,ENST00000558259,Q99767,ENST00000411764,Q99767-2,ENST00000561069	11784	P98084,ENSMUST00000032732
322	O00213-2,O00213,O00213-5,O00213-3,ENST00000609331,ENST00000608704,ENST00000311051,ENST00000530885,ENST00000609360,ENST00000608435,O00213-6,O00213-4,ENST00000608645,ENST00000608394	11785	ENSMUST00000081165,ENSMUST00000191601,ENSMUST00000190369,Q9QXJ1,Q9QXJ1-2,ENSMUST00000187057,ENSMUST00000189378,ENSMUST00000191011
323	ENST00000295974,ENST00000513611,ENST00000513140,ENST00000506352,ENST00000504305,ENST00000508593,ENST00000502841,Q92870,Q92870-4,Q92870-2,Q92870-3	11787	Q9DBR4-2,ENSMUST00000162955,ENSMUST00000162349,ENSMUST00000159512,Q9DBR4,ENSMUST00000162366,ENSMUST00000160870,ENSMUST00000159786,Q9DBR4-3
324	P25054-3,P25054,P25054-2,ENST00000508376,ENST00000257430	11789	ENSMUST00000079362
325	P02743,ENST00000255040	20219	ENSMUST00000027824,P12246
326	O43918,O43918-3,O43918-2,O43918-4,ENST00000291582	11634	Q9Z0E3,ENSMUST00000105395,Q9Z0E3-10,ENSMUST00000140636,Q9Z0E3-2,Q9Z0E3-6,ENSMUST00000156417,Q9Z0E3-7,ENSMUST00000130972,ENSMUST00000154374,Q9Z0E3-11,ENSMUST00000148469,Q9Z0E3-8,ENSMUST00000128241,ENSMUST00000105396,ENSMUST00000155021,Q9Z0E3-12,ENSMUST00000145975,ENSMUST00000019257,Q9Z0E3-4,Q9Z0E3-9,Q9Z0E3-5,Q9Z0E3-3,ENSMUST00000143735
327	ENST00000296456,P13798	235606	Q8R146-2,ENSMUST00000193254,Q8R146
328	ENST00000555414,ENST00000216714,P27695,ENST00000398030	11792	P28352,ENSMUST00000049411
329	ENST00000227758,Q13490-2,Q13490,ENST00000530675	11797	Q62210,ENSMUST00000190341
331	ENST00000371199,ENST00000434753,ENST00000355640,P98170	11798	ENSMUST00000115095,ENSMUST00000115094,ENSMUST00000055483,Q60989
332	ENST00000350051,O15392-5,O15392-2,O15392-3,O15392-6,O15392-7,ENST00000374948,ENST00000301633,O15392,O15392-4	11799	ENSMUST00000081387,O70201,O70201-2,ENSMUST00000093906,O70201-3
333	P51693-2,P51693,ENST00000221891	11803	ENSMUST00000006828,Q03157
